上海西郊宾馆东湖公寓酒店 ,021-62708666,021-62705858
上海新协通国际大酒店  ,021-63516200,021-63522888
上海园林格兰云天大酒店 ,021-64930000,021-34089999
上海康桥凯莱酒店 ,021-68070099,021-68070000
上海亭枫商务酒店(原上海亭枫宾馆) ,021-62100002,021-62100003
南苑e家（上海沪太店） ,021-60941300,021-60941388
上海爱莎金煦全套房酒店 ,021-62882855,021-32184555
上海半岛酒店 ,021-23272093,021-23272888
上海东方商旅酒店 ,021-63201188,021-63200088
上海和平饭店  ,021-63291888,021-63216888
上海虹桥美爵酒店 ,021-51727961,021-51533300
上海衡山北郊宾馆 ,021-56046110,021-56040088
上海皇廷国际大酒店 ,021-50509501,021-50509500
上海嘉豪淮海国际豪生酒店 ,021-64721551,021-54619898
上海绿地东海岸豪生酒店 ,021-61871889,021-61871888
上海绿地豪生全套房酒店 ,021-62264822,021-52382555
上海瑞吉红塔大酒店  ,021-68756789,021-50504567
上海西郊宾馆  ,021-64336641,021-62198800
上海裕景大饭店  ,021-38789886,021-38789888
上海中凯豪生酒店 ,021-61931880,021-61931888
上海展讯豪生酒店 ,021-61097200,021-61651199
上海宾龙商务酒店 ,021-63211851,021-63216920
上海碧云钻石酒店公寓 ,021-50319093,021-50323232
上海广场长城假日酒店  ,021-63533501,021-63538008
上海格澜国际大酒店（原上海沈家花园大酒店） ,021-53865818,021-63877700
上海航空酒店（浦东机场店） ,021-68359666,021-38489888
上海华美国际酒店 ,021-53836588,021-53838588
上海嘉登道大饭店 ,021-64233703,021-34084888
上海吉瑞酒店公寓 ,021-58780392,021-58789999
上海金水湾大酒店  ,021-63537700,021-63537070
上海久阳滨江酒店 ,021-58779727,021-58778899、58779726
上海蓝宫大饭店  ,021-59161125,021-59161000
上海Mlily梦百合零压体验酒店(原上海圣爱华发681商务会所） ,021-55965710,021-33776999
上海人济酒店 ,021-51191778,021-51191888
上海新东纺大酒店 ,021-62260012,021-62266800
上海新发展圣淘沙大酒店  ,021-57420888,021-57429999
上海鑫港商务酒店（原上海东航商务鑫港宾馆） ,021-54492508,021-54499898
上海新晖大酒店  ,021-37662655,021-37662666
上海兴宇大酒店 ,021-63330000,021-63338888
上海星程上服假日酒店虹桥 ,021-62291311,021-62288181
上海泓和宾馆 ,021-54197171,021-54218777
上海凯博佳豪酒店 ,021-61671688,021-61671818
上海清水湾大酒店  ,021-52687809,021-62609988
上海仁和宾馆  ,021-58605678,021-58601688
上海维拉斯酒店 ,021-51588669,021-51588666
上海由由大酒店 ,021-58814816,021-58810888
上海朗格商务酒店 ,021-51610989,021-51610999
花园饭店(上海)  ,021-64158866,021-64151111
上海大酒店  ,021-63519999,021-53538888
上海古象大酒店  ,021-33134880,021-33134888
