杭州花港海航度假酒店 ,0571-87968360,0571-87998899
杭州龙禧福朋喜来登酒店 ,0571-28878887,0571-28878888
杭州万华国际酒店 ,0571-85838866,0571-85088888
杭州滨江宜必思酒店 ,0571-85872780,0571-56697888
杭州和丽精品酒店 ,0571-86893651,0571-86026888
杭州杰欣世纪酒店 ,0571-87087010,0571-87070100
杭州浙旅名庭酒店 ,0571-85837998,0571-85837999
怡莱连锁酒店（杭州西湖店） ,0571-88829111,0571-87955288
杭州肯丁酒店式公寓 ,0571-81114051,0571-81114050
杭州西湖柒号酒店式公寓（星光店） ,0571-87700455-02,0571-86580597
万凯连锁旅店（杭州西湖店） ,0571-28069309,0571-28978333
新宇之星宾馆（杭州西湖店） ,0571-87971397,0571-85124888
杭州宝盛水博园大酒店 ,0571-83739666,0571-83500888
杭州法云安缦 ,0571-87329900,0571-87329999
杭州海外海皇冠假日酒店 ,0571-88355910,0571-88168888
杭州金马饭店  ,0571-82711579,0571-82887888
杭州陆羽山庄度假酒店  ,0571-88501080,0571-88502888
杭州良渚君澜度假酒店（原白鹭湾君澜度假酒店）  ,0571-89008899,0571-89008888
杭州世外桃源皇冠假日酒店  ,0571-83880688,0571-83880888
杭州西溪悦椿度假酒店 ,0571-85002111,0571-85002000
杭州阳明谷希尔假日酒店 ,0571-86652275,0571-88996666
杭州洲际酒店 ,0571-89810608,0571-89810000
浙江宾馆 ,0571-87971904,0571-87180808
浙江百瑞国际大酒店 ,0571-28028899,0571-28026666
浙江东方豪生大酒店 ,0571-86767666,0571-86767888
浙江饭店 ,0571-87062807,0571-87913333
浙江国际大酒店  ,0571-85770066,0571-85770088
浙江三立开元名都大酒店 ,0571-81063618,0571-85099999
浙江天都城酒店  ,0571-89179555,0571-89179666
浙江西子宾馆．汪庄  ,0571-87063537,0571-87021888
杭州博赛德酒店 ,0571-89708999,0571-87390666
杭州城市花园酒店  ,0571-86236666,0571-86238888
杭州富邦国际大酒店  ,0571-89285288,0571-89268888
杭州凤凰山庄艺术酒店 ,0571-86825177,0571-87887000
杭州菲斯泰尔酒店 ,0571-85131000,0571-85302000
杭州歌江维嘉大酒店 ,0571-28080809,0571-28080808
杭州海华满陇度假酒店  ,0571-28979898,0571-28978899
杭州华美达酒店  ,0571-87751438,0571-87779888
杭州海外海百纳大酒店 ,0571-89706913,0571-88175555
杭州海外海国际酒店 ,0571-89979111,0571-88176666
杭州华悦国际酒店 ,0571-85232222,0571-85317777
杭州江景戴斯大酒店 ,0571-87665123,0571-86689888
杭州捷特漫大酒店 ,0571-86568669,0571-86568777
杭州昆龙度假村 ,0571-87965187,0571-87987788
杭州孔雀大酒店 ,0571-86519888,0571-86513888
杭州凯瑞大酒店 ,0571-86020146,0571-86909888、86909999
杭州六通宾馆 ,0571-87960607,0571-87960606
杭州龙禧大酒店 ,0571-86690688,0571-86697888
杭州米兰洲际酒店 ,0571-88850000,0571-88922222
杭州明日宾馆  ,0571-83889008,0571-83889888
杭州纳德大酒店  ,0571-85880888-2817,0571-85880888
杭州浦京花园酒店 ,0571-81021595,0571-88855008
杭州瑞京国际大酒店 ,0571-86416199,0571-86406666
杭州世纪瑞城大酒店 ,0571-88736306,0571-88735599
杭州泰龙商务大酒店 ,0571—88177982,0571-88177999
杭州天马大酒店 ,0571-81637088,0571-86066666
杭州通信大厦国际酒店  ,0571-88331998,0571-88319888、0571-28885999
杭州星都宾馆  ,0571-88381888,0571-88386888
杭州香积·隐域精品酒店 ,0571-81069119,0571-88370666
杭州萧山宝盛宾馆  ,0571-82811529,0571-82800888
杭州萧山航民宾馆  ,0571-82554886,0571-82889888
杭州萧山众安假日酒店 ,0571-82687777,0571-82977777
杭州西溪598宾馆 ,0571-88222598,0571-86660598
杭州西溪布鲁克酒店 ,0571-85865555,0571-85863333
杭州西溪度假酒店 ,0571-88106595,0571-88960011
杭州溪杏苑酒店 ,0571-81387989,0571-81061111
杭州香园饭店 ,0571-88086001,0571-88072788
杭州英冠华美达广场酒店 ,0571-83811333,0571-83811999
杭州缘外缘山庄（原百瑞万松酒店） ,0571-28979965,0571-87699666
杭州之江饭店  ,0571-88064966,0571-88066888
杭州致远大酒店 ,0571-88008188,0571-88008088
